Title	ItemNumber	ItemNumberLabel	GroupNumber	ItemCategory	CategoryName	ContosoDatabaseProductKey	ContosoProductID	html:About	UnitCost	UnitPrice	UnitPriceCurrency	UnitPriceLabel	Features	Brand	BrandLabel	Color	ColorLabel	Size	SizeUnit	SizeLabel	Weight	WeightUnit	WeightLabel	ScreenSize	ScreenSizeUnit	ScreenSizeLabel	Memory	MemoryUnit	MemoryLabel	HardDrive	HardDriveUnit	HardDriveLabel	Megapixels	MegapixelsUnit	MegapixelsLabel	Zoom	ZoomUnit	ZoomLabel	RefreshRate	RefreshRateUnit	RefreshRateLabel	NumberOfSpeakers	NumberOfSpeakersLabel	Storage	StorageUnit	StorageLabel	Volume	VolumeUnit	VolumeLabel	BTU	BTUUnit	BTULabel	Coverage	CoverageUnit	CoverageLabel	Campaign	OnSale	Discount	LanguageTag
Adventure Works Laptop15.4W M1548 White	1010101	Item	10101	101	Laptops	372	301035	Laptop with 640 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LED display. 3 high-speed USB ports. Built-in webcam and DVD/CD-RW drive. 	$348,58 	$758,00 	$	Price		Adventure Works	Brand	White	Color				3,2	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	TRUE	-20 %	
Adventure Works Laptop15.4W M1548 Silver	1010102	Item	10101	101	Laptops	378	301041	Laptop with 640 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LED display. 3 high-speed USB ports. Built-in webcam and DVD/CD-RW drive. 	$348,58 	$758,00 	$	Price		Adventure Works	Brand	Silver	Color				3,2	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	TRUE	-20 %	
Adventure Works Laptop15.4W M1548 Red	1010103	Item	10101	101	Laptops	384	301047	Laptop with 640 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LED display. 3 high-speed USB ports. Built-in webcam and DVD/CD-RW drive. 	$348,58 	$758,00 	$	Price		Adventure Works	Brand	Red	Color				3,2	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	TRUE	-20 %	
Adventure Works Laptop15.4W M1548 Black	1010104	Item	10101	101	Laptops	366	301029	Laptop with 640 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LED display. 3 high-speed USB ports. Built-in webcam and DVD/CD-RW drive. 	$348,58 	$758,00 	$	Price		Adventure Works	Brand	Black	Color				3,2	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	TRUE	-20 %	
Adventure Works Laptop8.9 E0890 White	1010201	Item	10102	101	Laptops	373	301036	Lightweight laptop with 500 GB hard drive and 4 GB RAM. Weighs only 2.2 pounds, so perfect for travelling. 8.9-inch screen with built-in webcam. Software package included.	$166,20 	$326,00 	$	Price		Adventure Works	Brand	White	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop8.9 E0890 Silver	1010202	Item	10102	101	Laptops	379	301042	Lightweight laptop with 500 GB hard drive and 4 GB RAM. Weighs only 2.2 pounds, so perfect for travelling. 8.9-inch screen with built-in webcam. Software package included.	$166,20 	$326,00 	$	Price		Adventure Works	Brand	Silver	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop8.9 E0890 Red	1010203	Item	10102	101	Laptops	385	301048	Lightweight laptop with 500 GB hard drive and 4 GB RAM. Weighs only 2.2 pounds, so perfect for travelling. 8.9-inch screen with built-in webcam. Software package included.	$166,20 	$326,00 	$	Price		Adventure Works	Brand	Red	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop8.9 E0890 Black	1010204	Item	10102	101	Laptops	367	301030	Lightweight laptop with 500 GB hard drive and 4 GB RAM. Weighs only 2.2 pounds, so perfect for travelling. 8.9-inch screen with built-in webcam. Software package included.	$166,20 	$326,00 	$	Price		Adventure Works	Brand	Black	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop19W X1980 Black	1010301	Item	10103	101	Laptops	368	301031	Extra powerful laptop with 750 GB hard drive and 4 GB RAM. 3 USB 2.0 ports. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Software package included.	$430,38 	$1 299,00 	$	Price		Adventure Works	Brand	Black	Color				3,5	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop19W X1980 Silver	1010302	Item	10103	101	Laptops	374	301037	Extra powerful laptop with 750 GB hard drive and 4 GB RAM. 3 USB 2.0 ports. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Software package included.	$430,38 	$1 299,00 	$	Price		Adventure Works	Brand	Silver	Color				3,5	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
